Object/Custom Metadata Type Field Label is Located On,Object/Custom Metadata Type Field API Name is Located On,Field Label,Field API Name,Data Type,Field Description,Should Carry Over Values or Mappings from Object/Metadata Table,Should Carry Over Values or Mappings from Object/Metadata Table API Name,Expected Automation Behavior,Behavior Needs to Occur When?,Current Flow API Name with Expected Automation Behavior,Flow Version,Process Type,Trigger,Flow Triggering Autolaunch Flow?,Trigger Flow Version
Asset,Asset,Revenue Calculation Status,Revenue_Calculation_Status__c,Picklist,Asset's Revenue Calculation Status,QuoteLineItem.Revenue Calculation Status,QuoteLineItem.Revenue_Calculation_Status__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,One Time Amount,One_Time_Amount__c,Currency,Asset's One Time Product Total Amounts,QuoteLineItem.One Time Amount,QuoteLineItem.One_Time_Amount__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Techvera Product Type,Techvera_Product_Type__c,Picklist,Asset's Product Type,QuoteLineItem.Product Type,QuoteLineItem.Product_Type__c,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Subscription Type,Subscription_Type__c,Picklist,Asset's Subscription Type,QuoteLineItem.Product Subscription Type,QuoteLineItem.Product2.Subscription_Type__c,Should be the same as the original Quote Line Item's Product that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Net Price,NetPrice__c,Currency,Asset's Net Price,QuoteLineItem.Net Unit Price,QuoteLineItem.NetUnitPrice,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Net Total,Net_Total__c,Currency,Asset's Net Total,QuoteLineItem.Net Total Price,QuoteLineItem.NetTotalPrice,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Renewal Price,RenewalPrice__c,Currency,Asset's Renewal Price,QuoteLineItem.Sales Price,QuoteLineItem.UnitPrice,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Renewal Uplift,RenewalUpliftRate__c,Percent,Asset's Renewal Uplift percentage,QuoteLineItem.Unit Price Uplift,QuoteLineItem.UnitPriceUplift,Should be the same as the original Quote Line Item that created the Asset,Record Creation Only,,,,,,
Asset,Asset,Renewal Quantity,RenewalQuantity__c,Number,Asset's Renewal Quantity,QuoteLineItem.Quantity,QuoteLineItem.Quantity,"Should be the same as the original Quote Line Item that created the Asset

If Asset.Subscription_Type__c EQUALS Renewable OR Renewable/Evergreen, then reference Asset.Quantity for Asset.RenewalQuantity__c",Record Creation Only,,,,,,
Asset,Asset,One Time Product Identifier,Subscription_Term_Implementation__c,Checkbox,Asset's One Time Product Identifier,Asset.Subscription Type,Asset.Subscription_Type__c,"If Asset.Subscription_Type__c EQUALS One-Time, set this field to TRUE",Record Creation Only,,,,,,
