"Id","Success","Created","Error"
"001aZ00000djvJqQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJrQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJsQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJtQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJuQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJvQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJwQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJxQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJyQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvJzQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK0QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK1QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK2QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK3QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK4QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK5QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK6QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK7QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK8QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvK9QAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvKaQAI","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
"001aZ00000djvKAQAY","false","false","INSUFFICIENT_ACCESS_ON_CROSS_REFERENCE_ENTITY:invalid record type:--"
